gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,entity
female,group C,some college,free/reduced,none,77,90,91,ENTITY_464
male,group A,bachelor's degree,standard,completed,75,58,62,ENTITY_465
female,group C,some college,standard,none,84,87,91,ENTITY_466
female,group D,associate's degree,free/reduced,none,26,31,38,ENTITY_467
male,group A,high school,free/reduced,completed,72,67,65,ENTITY_468
female,group A,high school,free/reduced,completed,77,88,85,ENTITY_469
male,group C,some college,standard,none,91,74,76,ENTITY_470
female,group C,associate's degree,standard,completed,83,85,90,ENTITY_471
female,group C,high school,standard,none,63,69,74,ENTITY_472
female,group C,associate's degree,standard,completed,68,86,84,ENTITY_473
female,group D,some high school,standard,none,59,67,61,ENTITY_474
female,group B,associate's degree,standard,completed,90,90,91,ENTITY_475
female,group D,bachelor's degree,standard,completed,71,76,83,ENTITY_476
male,group E,bachelor's degree,standard,completed,76,62,66,ENTITY_477
male,group D,associate's degree,standard,none,80,68,72,ENTITY_478
female,group D,master's degree,standard,none,55,64,70,ENTITY_479
male,group E,associate's degree,standard,none,76,71,67,ENTITY_480
male,group B,high school,standard,completed,73,71,68,ENTITY_481
female,group D,associate's degree,free/reduced,none,52,59,56,ENTITY_482
male,group C,some college,free/reduced,none,68,68,61,ENTITY_483
male,group A,high school,standard,none,59,52,46,ENTITY_484
female,group B,associate's degree,standard,none,49,52,54,ENTITY_485
male,group C,high school,standard,none,70,74,71,ENTITY_486
male,group D,some college,free/reduced,none,61,47,56,ENTITY_487
female,group C,associate's degree,free/reduced,none,60,75,74,ENTITY_488
male,group B,some high school,standard,completed,64,53,57,ENTITY_489
male,group A,associate's degree,free/reduced,completed,79,82,82,ENTITY_490
female,group A,associate's degree,free/reduced,none,65,85,76,ENTITY_491
female,group C,associate's degree,standard,none,64,64,70,ENTITY_492
female,group C,some college,standard,none,83,83,90,ENTITY_493
female,group C,bachelor's degree,standard,none,81,88,90,ENTITY_494
female,group B,high school,standard,none,54,64,68,ENTITY_495
male,group D,high school,standard,completed,68,64,66,ENTITY_496
female,group C,some college,standard,none,54,48,52,ENTITY_497
female,group D,some college,free/reduced,completed,59,78,76,ENTITY_498
female,group B,some high school,standard,none,66,69,68,ENTITY_499
male,group E,some college,standard,none,76,71,72,ENTITY_500
female,group D,master's degree,standard,none,74,79,82,ENTITY_501
female,group B,associate's degree,standard,completed,94,87,92,ENTITY_502
male,group C,some college,free/reduced,none,63,61,54,ENTITY_503
female,group E,associate's degree,standard,completed,95,89,92,ENTITY_504
female,group D,master's degree,free/reduced,none,40,59,54,ENTITY_505
female,group B,some high school,standard,none,82,82,80,ENTITY_506
male,group A,high school,standard,none,68,70,66,ENTITY_507
male,group B,bachelor's degree,free/reduced,none,55,59,54,ENTITY_508
male,group C,master's degree,standard,none,79,78,77,ENTITY_509
female,group C,bachelor's degree,standard,none,86,92,87,ENTITY_510
male,group D,some college,standard,none,76,71,73,ENTITY_511
male,group A,some high school,standard,none,64,50,43,ENTITY_512
male,group D,some high school,free/reduced,none,62,49,52,ENTITY_513
female,group B,some high school,standard,completed,54,61,62,ENTITY_514
female,group B,master's degree,free/reduced,completed,77,97,94,ENTITY_515
female,group C,some high school,standard,completed,76,87,85,ENTITY_516
female,group D,some college,standard,none,74,89,84,ENTITY_517
female,group E,some college,standard,completed,66,74,73,ENTITY_518
female,group D,some high school,standard,completed,66,78,78,ENTITY_519
female,group B,high school,free/reduced,completed,67,78,79,ENTITY_520
male,group D,some college,standard,none,71,49,52,ENTITY_521
female,group C,associate's degree,standard,none,91,86,84,ENTITY_522
male,group D,bachelor's degree,standard,none,69,58,57,ENTITY_523
male,group C,master's degree,free/reduced,none,54,59,50,ENTITY_524
male,group C,high school,standard,completed,53,52,49,ENTITY_525
male,group E,some college,standard,none,68,60,59,ENTITY_526
male,group C,some high school,free/reduced,completed,56,61,60,ENTITY_527
female,group C,high school,free/reduced,none,36,53,43,ENTITY_528
female,group D,bachelor's degree,free/reduced,none,29,41,47,ENTITY_529
female,group C,associate's degree,standard,none,62,74,70,ENTITY_530
female,group C,associate's degree,standard,completed,68,67,73,ENTITY_531
female,group C,some high school,standard,none,47,54,53,ENTITY_532
male,group E,associate's degree,standard,completed,62,61,58,ENTITY_533
female,group E,associate's degree,standard,completed,79,88,94,ENTITY_534
male,group B,high school,standard,completed,73,69,68,ENTITY_535
female,group C,bachelor's degree,free/reduced,completed,66,83,83,ENTITY_536
male,group C,associate's degree,standard,completed,51,60,58,ENTITY_537
female,group D,high school,standard,none,51,66,62,ENTITY_538
male,group E,bachelor's degree,standard,completed,85,66,71,ENTITY_539
male,group A,associate's degree,standard,completed,97,92,86,ENTITY_540
male,group C,high school,standard,completed,75,69,68,ENTITY_541
male,group D,associate's degree,free/reduced,completed,79,82,80,ENTITY_542
female,group C,associate's degree,standard,none,81,77,79,ENTITY_543
female,group D,associate's degree,standard,none,82,95,89,ENTITY_544
female,group D,master's degree,standard,none,64,63,66,ENTITY_545
male,group E,some high school,free/reduced,completed,78,83,80,ENTITY_546
female,group A,some high school,standard,completed,92,100,97,ENTITY_547
male,group C,high school,standard,completed,72,67,64,ENTITY_548
female,group C,high school,free/reduced,none,62,67,64,ENTITY_549
male,group C,master's degree,standard,none,79,72,69,ENTITY_550
male,group C,some high school,free/reduced,none,79,76,65,ENTITY_551
male,group B,bachelor's degree,free/reduced,completed,87,90,88,ENTITY_552
female,group B,associate's degree,standard,none,40,48,50,ENTITY_553
male,group D,some college,free/reduced,none,77,62,64,ENTITY_554
male,group E,associate's degree,standard,none,53,45,40,ENTITY_555
female,group C,some college,free/reduced,none,32,39,33,ENTITY_556
female,group C,associate's degree,standard,completed,55,72,1000,ENTITY_557
male,group C,master's degree,free/reduced,none,61,67,66,ENTITY_558
female,group B,associate's degree,free/reduced,none,53,70,70,ENTITY_559
male,group D,some high school,standard,none,73,66,62,ENTITY_560
female,group D,some college,standard,completed,74,75,79,ENTITY_561
female,group C,some college,standard,none,63,74,74,ENTITY_562
male,group C,bachelor's degree,standard,completed,96,90,92,ENTITY_563
female,group D,some college,free/reduced,completed,63,80,80,ENTITY_564
male,group B,bachelor's degree,free/reduced,none,48,51,46,ENTITY_565
male,group B,associate's degree,standard,none,48,43,45,ENTITY_566
female,group E,bachelor's degree,free/reduced,completed,92,100,100,ENTITY_567
female,group D,master's degree,free/reduced,completed,61,71,78,ENTITY_568
male,group B,high school,free/reduced,none,63,48,47,ENTITY_569
male,group D,bachelor's degree,free/reduced,none,68,68,67,ENTITY_570
male,group B,some college,standard,completed,71,75,70,ENTITY_571
male,group A,bachelor's degree,standard,none,91,96,92,ENTITY_572
female,group C,some college,standard,none,53,62,56,ENTITY_573
female,group C,high school,free/reduced,completed,50,66,64,ENTITY_574
female,group E,high school,standard,none,74,81,71,ENTITY_575
male,group A,associate's degree,free/reduced,completed,40,55,53,ENTITY_576
male,group A,some college,standard,completed,61,51,52,ENTITY_577
female,group B,high school,standard,none,81,91,89,ENTITY_578
female,group B,some college,free/reduced,completed,48,56,58,ENTITY_579
female,group D,master's degree,standard,none,53,61,68,ENTITY_580
female,group D,some high school,standard,none,81,97,96,ENTITY_581
female,group E,some high school,standard,none,77,79,80,ENTITY_582
female,group D,bachelor's degree,free/reduced,none,63,73,78,ENTITY_583
female,group D,associate's degree,standard,completed,73,75,80,ENTITY_584
female,group D,some college,standard,none,69,77,77,ENTITY_585
female,group C,associate's degree,standard,none,65,76,76,ENTITY_586
female,group A,high school,standard,none,55,73,73,ENTITY_587
female,group C,bachelor's degree,free/reduced,none,44,63,62,ENTITY_588
female,group C,some college,standard,none,54,64,65,ENTITY_589
female,group A,some high school,standard,none,48,66,65,ENTITY_590
male,group C,some college,free/reduced,none,58,57,54,ENTITY_591
male,group A,some high school,standard,none,71,62,50,ENTITY_592
male,group E,bachelor's degree,standard,none,68,68,64,ENTITY_593
female,group E,high school,standard,none,74,76,73,ENTITY_594
female,group C,bachelor's degree,standard,completed,92,100,99,ENTITY_595
female,group C,bachelor's degree,standard,completed,56,79,72,ENTITY_596
male,group B,high school,free/reduced,none,30,24,15,ENTITY_597
male,group A,some high school,standard,none,53,54,48,ENTITY_598
female,group D,high school,standard,none,69,77,73,ENTITY_599
female,group D,some high school,standard,none,65,82,81,ENTITY_600
female,group D,master's degree,standard,none,54,60,63,ENTITY_601
female,group C,high school,standard,none,29,29,30,ENTITY_602
female,group E,some college,standard,none,76,78,80,ENTITY_603
male,group D,high school,free/reduced,none,60,57,51,ENTITY_604
male,group D,master's degree,free/reduced,completed,84,89,90,ENTITY_605
male,group C,some high school,standard,none,75,72,62,ENTITY_606
female,group C,associate's degree,standard,none,85,84,82,ENTITY_607
female,group C,master's degree,free/reduced,none,40,58,54,ENTITY_608
female,group E,some college,standard,none,61,64,62,ENTITY_609
female,group B,associate's degree,standard,none,58,63,65,ENTITY_610
male,group D,some college,free/reduced,completed,69,60,63,ENTITY_611
female,group C,some college,standard,none,58,59,66,ENTITY_612
male,group C,bachelor's degree,standard,completed,94,90,91,ENTITY_613
female,group C,associate's degree,standard,none,65,77,74,ENTITY_614
female,group A,associate's degree,standard,none,82,93,93,ENTITY_615
female,group C,high school,standard,none,60,68,72,ENTITY_616
female,group E,bachelor's degree,standard,none,37,45,38,ENTITY_617
male,group D,bachelor's degree,standard,none,88,78,83,ENTITY_618
male,group D,master's degree,standard,none,95,81,84,ENTITY_619
male,group C,associate's degree,free/reduced,completed,65,73,68,ENTITY_620
female,group C,high school,free/reduced,none,35,61,54,ENTITY_621
male,group B,bachelor's degree,free/reduced,none,62,63,56,ENTITY_622
male,group C,high school,free/reduced,completed,58,51,52,ENTITY_623
male,group A,some college,standard,completed,100,96,86,ENTITY_624
female,group E,bachelor's degree,free/reduced,none,61,58,62,ENTITY_625
male,group D,some college,standard,completed,100,97,99,ENTITY_626
male,group B,associate's degree,free/reduced,completed,69,70,63,ENTITY_627
male,group D,associate's degree,standard,none,61,48,46,ENTITY_628
male,group D,some college,free/reduced,none,49,57,46,ENTITY_629
female,group C,some high school,standard,completed,44,51,55,ENTITY_630
male,group D,some college,standard,none,67,64,70,ENTITY_631
male,group B,high school,standard,none,79,60,65,ENTITY_632
female,group B,bachelor's degree,standard,completed,66,74,81,ENTITY_633
female,group C,high school,standard,none,75,88,85,ENTITY_634
male,group D,some high school,standard,none,84,84,80,ENTITY_635
male,group A,high school,standard,none,71,74,64,ENTITY_636
female,group B,high school,free/reduced,completed,67,80,81,ENTITY_637
female,group D,some high school,standard,completed,80,92,88,ENTITY_638
male,group E,some college,standard,none,86,76,74,ENTITY_639
female,group D,associate's degree,standard,none,76,74,73,ENTITY_640
male,group D,high school,standard,none,41,52,51,ENTITY_641
female,group D,associate's degree,free/reduced,completed,74,88,90,ENTITY_642
female,group B,some high school,free/reduced,none,72,81,79,ENTITY_643
female,group E,high school,standard,completed,74,79,80,ENTITY_644
male,group B,high school,standard,none,70,65,60,ENTITY_645
female,group B,bachelor's degree,standard,completed,65,81,81,ENTITY_646
female,group D,associate's degree,standard,none,59,70,65,ENTITY_647
female,group E,high school,free/reduced,none,64,62,68,ENTITY_648
female,group B,high school,standard,none,50,53,55,ENTITY_649
female,group D,some college,standard,completed,69,79,81,ENTITY_650
male,group C,some high school,free/reduced,completed,51,56,53,ENTITY_651
female,group A,high school,standard,completed,68,80,76,ENTITY_652
female,group D,some college,standard,completed,85,86,98,ENTITY_653
female,group A,associate's degree,standard,completed,65,70,74,ENTITY_654
female,group B,some high school,standard,none,73,79,79,ENTITY_655
female,group B,some college,standard,none,62,67,67,ENTITY_656
male,group C,associate's degree,free/reduced,none,77,67,64,ENTITY_657
male,group D,some high school,standard,none,69,66,61,ENTITY_658
female,group D,associate's degree,free/reduced,none,43,60,58,ENTITY_659
male,group D,associate's degree,standard,none,90,87,85,ENTITY_660
male,group C,some college,free/reduced,none,74,77,73,ENTITY_661
male,group C,some high school,standard,none,73,66,63,ENTITY_662
female,group D,some college,free/reduced,none,55,71,69,ENTITY_663
female,group C,high school,standard,none,65,69,67,ENTITY_664
male,group D,associate's degree,standard,none,80,63,63,ENTITY_665
female,group C,some high school,free/reduced,completed,50,60,60,ENTITY_666
female,group C,some college,free/reduced,completed,63,73,71,ENTITY_667
female,group B,bachelor's degree,free/reduced,none,77,85,87,ENTITY_668
male,group C,some college,standard,none,73,74,61,ENTITY_669
male,group D,associate's degree,standard,completed,81,72,77,ENTITY_670
female,group C,high school,free/reduced,none,66,76,68,ENTITY_671
male,group D,associate's degree,free/reduced,none,52,57,50,ENTITY_672
female,group C,some college,standard,none,69,78,76,ENTITY_673
female,group C,associate's degree,standard,completed,65,84,84,ENTITY_674
female,group D,high school,standard,completed,69,77,78,ENTITY_675
female,group B,some college,standard,completed,50,64,66,ENTITY_676
female,group E,some college,standard,completed,73,78,76,ENTITY_677
female,group C,some high school,standard,completed,70,82,76,ENTITY_678
male,group D,associate's degree,free/reduced,none,81,75,78,ENTITY_679
male,group D,some college,free/reduced,none,63,61,60,ENTITY_680
female,group D,high school,standard,none,67,72,74,ENTITY_681
male,group B,high school,standard,none,60,68,60,ENTITY_682
male,group B,high school,standard,none,62,55,54,ENTITY_683
female,group C,some high school,free/reduced,completed,29,40,44,ENTITY_684
male,group B,some college,standard,completed,62,66,68,ENTITY_685
female,group E,master's degree,standard,completed,94,99,100,ENTITY_686
male,group E,some college,standard,completed,85,75,68,ENTITY_687
male,group D,associate's degree,free/reduced,none,77,78,73,ENTITY_688
male,group A,high school,free/reduced,none,53,58,44,ENTITY_689
male,group E,some college,free/reduced,none,93,90,83,ENTITY_690
female,group C,associate's degree,standard,none,49,53,53,ENTITY_691
female,group E,associate's degree,free/reduced,none,73,76,78,ENTITY_692
female,group C,bachelor's degree,free/reduced,completed,66,74,81,ENTITY_693
female,group D,associate's degree,standard,none,77,77,73,ENTITY_694
female,group C,some high school,standard,none,49,63,56,ENTITY_695
female,group D,some college,free/reduced,none,79,89,86,ENTITY_696
female,group C,associate's degree,standard,completed,75,82,90,ENTITY_697
female,group A,bachelor's degree,standard,none,59,72,70,ENTITY_698
female,group D,associate's degree,standard,completed,57,78,79,ENTITY_699
male,group C,high school,free/reduced,none,66,66,59,ENTITY_700
female,group E,bachelor's degree,standard,completed,79,81,82,ENTITY_701
female,group B,some high school,standard,none,57,67,72,ENTITY_702
male,group A,bachelor's degree,standard,completed,87,84,87,ENTITY_703
female,group D,some college,standard,none,63,64,67,ENTITY_704
female,group B,some high school,free/reduced,completed,59,63,64,ENTITY_705
male,group A,bachelor's degree,free/reduced,none,62,72,65,ENTITY_706
male,group D,high school,standard,none,46,34,36,ENTITY_707
male,group C,some college,standard,none,66,59,52,ENTITY_708
male,group D,high school,standard,none,89,87,79,ENTITY_709
female,group D,associate's degree,free/reduced,completed,42,61,58,ENTITY_710
male,group C,some college,standard,completed,93,84,90,ENTITY_711
female,group E,some high school,standard,completed,80,85,85,ENTITY_712
female,group D,some college,standard,none,98,100,99,ENTITY_713
male,group D,master's degree,standard,none,81,81,84,ENTITY_714
female,group B,some high school,standard,completed,60,70,74,ENTITY_715
female,group B,associate's degree,free/reduced,completed,76,94,87,ENTITY_716
male,group C,associate's degree,standard,completed,73,78,72,ENTITY_717
female,group C,associate's degree,standard,completed,96,96,99,ENTITY_718
female,group C,high school,standard,none,76,76,74,ENTITY_719
male,group E,associate's degree,free/reduced,completed,91,73,80,ENTITY_720
female,group C,some college,free/reduced,none,62,72,70,ENTITY_721
male,group D,some high school,free/reduced,completed,55,59,59,ENTITY_722
female,group B,some high school,free/reduced,completed,74,90,88,ENTITY_723
male,group C,high school,standard,none,50,48,42,ENTITY_724
male,group B,some college,standard,none,47,43,41,ENTITY_725
male,group E,some college,standard,completed,81,74,71,ENTITY_726
female,group E,associate's degree,standard,completed,65,75,77,ENTITY_727
male,group E,some high school,standard,completed,68,51,57,ENTITY_728
female,group D,high school,free/reduced,none,73,92,84,ENTITY_729
male,group C,some college,standard,none,53,39,37,ENTITY_730
female,group B,associate's degree,free/reduced,completed,68,77,80,ENTITY_731
male,group A,some high school,free/reduced,none,55,46,43,ENTITY_732
female,group C,some college,standard,completed,87,89,94,ENTITY_733
male,group D,some high school,standard,none,55,47,44,ENTITY_734
female,group E,some college,free/reduced,none,53,58,57,ENTITY_735
male,group C,master's degree,standard,none,67,57,59,ENTITY_736
male,group C,associate's degree,standard,none,92,79,84,ENTITY_737
female,group B,some college,free/reduced,completed,53,66,73,ENTITY_738
male,group D,associate's degree,standard,none,81,71,73,ENTITY_739
male,group C,high school,free/reduced,none,61,60,55,ENTITY_740
male,group D,bachelor's degree,standard,none,80,73,72,ENTITY_741
female,group A,associate's degree,free/reduced,none,37,57,56,ENTITY_742
female,group C,high school,standard,none,81,84,82,ENTITY_743
female,group C,associate's degree,standard,completed,59,73,72,ENTITY_744
male,group B,some college,free/reduced,none,55,55,47,ENTITY_745
male,group D,associate's degree,standard,none,72,79,74,ENTITY_746
male,group D,high school,standard,none,69,75,71,ENTITY_747
male,group C,some college,standard,none,69,64,68,ENTITY_748
female,group C,bachelor's degree,free/reduced,none,50,60,59,ENTITY_749
male,group B,some college,standard,completed,87,84,86,ENTITY_750
male,group D,some high school,standard,completed,71,69,68,ENTITY_751
male,group E,some college,standard,none,68,72,65,ENTITY_752
male,group C,master's degree,free/reduced,completed,79,77,75,ENTITY_753
female,group C,some high school,standard,completed,77,90,85,ENTITY_754
male,group C,associate's degree,free/reduced,none,58,55,53,ENTITY_755
female,group E,associate's degree,standard,none,84,95,92,ENTITY_756
male,group D,some college,standard,none,55,58,52,ENTITY_757
male,group E,bachelor's degree,free/reduced,completed,70,68,72,ENTITY_758
female,group D,some college,free/reduced,completed,52,59,65,ENTITY_759
male,group B,some college,standard,completed,69,77,77,ENTITY_760
female,group C,high school,free/reduced,none,53,72,64,ENTITY_761
female,group D,some high school,standard,none,48,58,54,ENTITY_762
male,group D,some high school,standard,completed,78,81,86,ENTITY_763
female,group B,high school,standard,none,62,62,63,ENTITY_764
male,group D,some college,standard,none,60,63,59,ENTITY_765
female,group B,high school,standard,none,74,72,72,ENTITY_766
female,group C,high school,standard,completed,58,75,77,ENTITY_767
male,group B,high school,standard,completed,76,62,60,ENTITY_768
female,group D,some high school,standard,none,68,71,75,ENTITY_769
male,group A,some college,free/reduced,none,58,60,57,ENTITY_770
male,group B,high school,standard,none,52,48,49,ENTITY_771
male,group D,bachelor's degree,standard,none,75,73,74,ENTITY_772
female,group B,some high school,free/reduced,completed,52,67,72,ENTITY_773
female,group C,bachelor's degree,free/reduced,none,62,78,79,ENTITY_774
male,group B,some college,standard,none,66,65,60,ENTITY_775
female,group B,some high school,free/reduced,none,49,58,55,ENTITY_776
female,group B,high school,standard,none,66,72,70,ENTITY_777
female,group C,some college,free/reduced,none,35,44,43,ENTITY_778
female,group A,some college,standard,completed,72,79,82,ENTITY_779
male,group E,associate's degree,standard,completed,94,85,82,ENTITY_780
female,group D,associate's degree,free/reduced,none,46,56,57,ENTITY_781
female,group B,master's degree,standard,none,77,90,84,ENTITY_782
female,group B,high school,free/reduced,completed,76,85,82,ENTITY_783
female,group C,associate's degree,standard,completed,52,59,62,ENTITY_784
male,group C,bachelor's degree,standard,completed,91,81,79,ENTITY_785
female,group B,some high school,standard,completed,32,51,44,ENTITY_786
female,group E,some high school,free/reduced,none,72,79,77,ENTITY_787
female,group B,some college,standard,none,19,38,32,ENTITY_788
male,group C,associate's degree,free/reduced,none,68,65,61,ENTITY_789
female,group C,master's degree,free/reduced,none,52,65,61,ENTITY_790
female,group B,high school,standard,none,48,62,60,ENTITY_791
female,group D,some college,free/reduced,none,60,66,70,ENTITY_792
male,group D,high school,free/reduced,none,66,74,69,ENTITY_793
male,group E,some high school,standard,completed,89,84,77,ENTITY_794
female,group B,high school,standard,none,42,52,51,ENTITY_795
female,group E,associate's degree,free/reduced,completed,57,68,73,ENTITY_796
male,group D,high school,standard,none,70,70,70,ENTITY_797
female,group E,associate's degree,free/reduced,none,70,84,81,ENTITY_798
male,group E,some college,standard,none,69,60,54,ENTITY_799
female,group C,associate's degree,standard,none,52,55,57,ENTITY_800
male,group C,some high school,standard,completed,67,73,68,ENTITY_801
male,group C,some high school,standard,completed,76,80,73,ENTITY_802
female,group E,associate's degree,standard,none,87,94,95,ENTITY_803
female,group B,some college,standard,none,82,85,87,ENTITY_804
female,group C,some college,standard,none,73,76,78,ENTITY_805
male,group A,some college,free/reduced,none,75,81,74,ENTITY_806
female,group D,some college,free/reduced,none,64,74,75,ENTITY_807
female,group E,high school,free/reduced,none,41,45,40,ENTITY_808
male,group C,high school,standard,none,90,75,69,ENTITY_809
male,group B,bachelor's degree,standard,none,59,54,51,ENTITY_810
male,group A,some high school,standard,none,51,31,36,ENTITY_811
male,group A,high school,free/reduced,none,45,47,49,ENTITY_812
female,group C,master's degree,standard,completed,54,64,67,ENTITY_813
male,group E,some high school,standard,completed,87,84,76,ENTITY_814
female,group C,high school,standard,none,72,80,83,ENTITY_815
male,group B,some high school,standard,completed,94,86,87,ENTITY_816
female,group A,bachelor's degree,standard,none,45,59,64,ENTITY_817
male,group D,bachelor's degree,free/reduced,completed,61,70,76,ENTITY_818
female,group B,high school,free/reduced,none,60,72,68,ENTITY_819
female,group C,some high school,standard,none,77,91,88,ENTITY_820
female,group A,some high school,standard,completed,85,90,92,ENTITY_821
female,group D,bachelor's degree,free/reduced,none,78,90,93,ENTITY_822
male,group E,some college,free/reduced,completed,49,52,51,ENTITY_823
female,group B,high school,free/reduced,none,71,87,82,ENTITY_824
female,group C,some high school,free/reduced,none,48,58,52,ENTITY_825
male,group C,high school,standard,none,62,67,58,ENTITY_826
female,group C,associate's degree,free/reduced,completed,56,68,70,ENTITY_827
female,group C,some high school,standard,none,65,69,76,ENTITY_828
female,group D,some high school,free/reduced,completed,69,86,81,ENTITY_829
male,group B,some high school,standard,none,68,54,53,ENTITY_830
female,group A,some college,free/reduced,none,61,60,57,ENTITY_831
female,group C,bachelor's degree,free/reduced,completed,74,86,89,ENTITY_832
male,group A,bachelor's degree,standard,none,64,60,58,ENTITY_833
female,group B,high school,standard,completed,77,82,89,ENTITY_834
male,group B,some college,standard,none,58,50,45,ENTITY_835
female,group C,high school,standard,completed,60,64,74,ENTITY_836
male,group E,high school,standard,none,73,64,57,ENTITY_837
female,group A,high school,standard,completed,75,82,79,ENTITY_838
male,group B,associate's degree,free/reduced,completed,58,57,53,ENTITY_839
female,group C,associate's degree,standard,none,66,77,73,ENTITY_840
female,group D,high school,free/reduced,none,39,52,46,ENTITY_841
male,group C,some high school,standard,none,64,58,51,ENTITY_842
female,group B,high school,free/reduced,completed,23,44,36,ENTITY_843
male,group B,some college,free/reduced,completed,74,77,76,ENTITY_844
female,group D,some high school,free/reduced,completed,40,65,64,ENTITY_845
male,group E,master's degree,standard,none,90,85,84,ENTITY_846
male,group C,master's degree,standard,completed,91,85,85,ENTITY_847
male,group D,high school,standard,none,64,54,50,ENTITY_848
female,group C,high school,standard,none,59,72,68,ENTITY_849
male,group D,associate's degree,standard,none,80,75,69,ENTITY_850
male,group C,master's degree,standard,none,71,67,67,ENTITY_851
female,group A,high school,standard,none,61,68,63,ENTITY_852
female,group E,some college,standard,none,87,85,93,ENTITY_853
male,group E,some high school,standard,none,82,67,61,ENTITY_854
male,group C,some high school,standard,none,62,64,55,ENTITY_855
female,group B,bachelor's degree,standard,none,97,97,96,ENTITY_856
male,group B,some college,free/reduced,none,75,68,65,ENTITY_857
female,group C,bachelor's degree,standard,none,65,79,81,ENTITY_858
male,group B,high school,standard,completed,52,49,46,ENTITY_859
male,group C,associate's degree,free/reduced,none,87,73,72,ENTITY_860
female,group C,associate's degree,standard,none,53,62,53,ENTITY_861
female,group E,master's degree,free/reduced,none,81,86,87,ENTITY_862
male,group D,bachelor's degree,free/reduced,completed,39,42,38,ENTITY_863
female,group C,some college,standard,completed,71,71,80,ENTITY_864
male,group C,associate's degree,standard,none,97,93,91,ENTITY_865
male,group D,some college,standard,completed,82,82,88,ENTITY_866
male,group C,high school,free/reduced,none,59,53,52,ENTITY_867
male,group B,associate's degree,standard,none,61,42,41,ENTITY_868
male,group E,associate's degree,free/reduced,completed,78,74,72,ENTITY_869
male,group C,associate's degree,free/reduced,none,49,51,51,ENTITY_870
male,group B,high school,standard,none,59,58,47,ENTITY_871
female,group C,some college,standard,completed,70,72,76,ENTITY_872
male,group B,associate's degree,standard,completed,82,84,78,ENTITY_873
male,group E,associate's degree,free/reduced,none,90,90,82,ENTITY_874
female,group C,bachelor's degree,free/reduced,none,43,62,61,ENTITY_875
male,group C,some college,free/reduced,none,80,64,66,ENTITY_876
male,group D,some college,standard,none,81,82,84,ENTITY_877
male,group C,some high school,standard,none,57,61,54,ENTITY_878
female,group D,some high school,standard,none,59,72,80,ENTITY_879
female,group D,associate's degree,standard,none,64,76,74,ENTITY_880
male,group C,bachelor's degree,standard,completed,63,64,66,ENTITY_881
female,group E,bachelor's degree,standard,completed,71,70,70,ENTITY_882
female,group B,high school,free/reduced,none,64,73,71,ENTITY_883
male,group D,bachelor's degree,free/reduced,none,55,46,44,ENTITY_884
female,group E,associate's degree,standard,none,51,51,54,ENTITY_885
female,group C,associate's degree,standard,completed,62,76,80,ENTITY_886
female,group E,associate's degree,standard,completed,93,100,95,ENTITY_887
male,group C,high school,free/reduced,none,54,72,59,ENTITY_888
female,group D,some college,free/reduced,none,69,65,74,ENTITY_889
male,group D,high school,free/reduced,none,44,51,48,ENTITY_890
female,group E,some college,standard,completed,86,85,91,ENTITY_891
female,group E,associate's degree,standard,none,85,92,85,ENTITY_892
female,group A,master's degree,free/reduced,none,50,67,73,ENTITY_893
male,group D,some high school,standard,completed,88,74,75,ENTITY_894
female,group E,associate's degree,standard,none,59,62,69,ENTITY_895
female,group E,some high school,free/reduced,none,32,34,38,ENTITY_896
male,group B,high school,free/reduced,none,36,29,27,ENTITY_897
female,group B,some high school,free/reduced,completed,63,78,79,ENTITY_898
male,group D,associate's degree,standard,completed,67,54,63,ENTITY_899
female,group D,some high school,standard,completed,65,78,82,ENTITY_900
male,group D,master's degree,standard,none,85,84,89,ENTITY_901
female,group C,master's degree,standard,none,73,78,74,ENTITY_902
female,group A,high school,free/reduced,completed,34,48,41,ENTITY_903
female,group D,bachelor's degree,free/reduced,completed,93,100,100,ENTITY_904
female,group D,some high school,free/reduced,none,67,84,84,ENTITY_905
male,group D,some college,standard,none,88,77,77,ENTITY_906
male,group B,high school,standard,none,57,48,51,ENTITY_907
female,group D,some college,standard,completed,79,84,91,ENTITY_908
female,group C,bachelor's degree,free/reduced,none,67,75,72,ENTITY_909
male,group E,bachelor's degree,standard,completed,70,64,70,ENTITY_910
male,group D,bachelor's degree,free/reduced,none,50,42,48,ENTITY_911
female,group A,some college,standard,none,69,84,82,ENTITY_912
female,group C,bachelor's degree,standard,completed,52,61,66,ENTITY_913
female,group C,bachelor's degree,free/reduced,completed,47,62,66,ENTITY_914
female,group B,associate's degree,free/reduced,none,46,61,55,ENTITY_915
female,group E,some college,standard,none,68,70,66,ENTITY_916
male,group E,bachelor's degree,standard,completed,100,100,100,ENTITY_917
female,group C,high school,standard,none,44,61,52,ENTITY_918
female,group C,associate's degree,standard,completed,57,77,80,ENTITY_919
male,group B,some college,standard,completed,91,96,91,ENTITY_920
male,group D,high school,free/reduced,none,69,70,67,ENTITY_921
female,group C,high school,free/reduced,none,35,53,46,ENTITY_922
male,group D,high school,standard,none,72,66,66,ENTITY_923
female,group B,associate's degree,free/reduced,none,54,65,65,ENTITY_924
male,group D,high school,free/reduced,none,74,70,69,ENTITY_925
male,group E,some high school,standard,completed,74,64,60,ENTITY_926
male,group E,associate's degree,free/reduced,none,64,56,52,ENTITY_927
